,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
0,1,1,1.8091528460167465,0,4,23.0,http://www.cian.ru/sale/flat/147726561/,95.0,7.0,0,0,8.0,71014225,3,1.0,118.0,1.0
1,1,1,3.4543351620049028,0,6,37.4,http://www.cian.ru/sale/flat/149818595/,45.0,9.0,1,0,14.0,85000000,3,1.0,114.1,1.0
2,1,1,2.18538327800908,0,7,13.0,http://www.cian.ru/sale/flat/150674314/,69.0,6.0,2,0,8.0,55000000,3,,124.0,1.0
3,1,1,29.427101420904584,0,2,8.0,http://www.cian.ru/sale/flat/151894585/,15.8,20.0,3,1,4.0,2316750,1,,30.9,0.0
4,1,1,21.49946710377006,0,2,11.8,http://www.cian.ru/sale/flat/151575879/,36.6,15.0,4,1,19.0,3650000,2,,73.8,0.0
5,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031259/,17.3,6.0,5,1,,4585315,1,,17.3,1.0
6,0,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/150346368/,17.3,5.0,6,0,6.0,4677021,1,0.0,17.3,1.0
7,1,0,4.147511790680763,0,1,6.0,http://www.cian.ru/sale/flat/151575167/,21.0,3.0,7,0,9.0,4700000,1,0.0,32.0,1.0
8,1,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/151004941/,10.0,6.0,8,1,5.0,4814581,1,,17.3,1.0
9,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031296/,18.1,6.0,9,1,,5225953,1,,18.1,1.0
10,1,1,4.027555607143229,0,2,8.0,http://www.cian.ru/sale/flat/151636041/,12.0,3.0,10,0,6.0,5300000,1,1.0,21.0,1.0
11,1,1,4.075651203998337,0,5,,http://www.cian.ru/sale/flat/151004981/,10.0,6.0,11,1,5.0,5377566,1,,18.3,1.0
12,0,0,4.075651203998337,0,5,,http://www.cian.ru/sale/flat/149031321/,18.3,6.0,12,1,,5377566,1,,18.3,1.0
13,1,0,6.155291599128369,0,1,10.0,http://www.cian.ru/sale/flat/149300855/,20.0,13.0,13,0,12.0,5400000,1,,35.0,1.0
14,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031261/,23.7,6.0,14,1,,5496232,1,,23.7,1.0
15,0,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/148794719/,23.7,5.0,15,0,6.0,5606157,1,0.0,23.7,1.0
16,1,1,2.2896363185778883,0,1,3.0,http://www.cian.ru/sale/flat/152152851/,18.0,3.0,16,0,5.0,5900000,1,,21.0,1.0
17,1,1,4.985874898788719,0,5,7.0,http://www.cian.ru/sale/flat/151824843/,19.0,20.0,17,0,5.0,5900000,1,0.0,30.0,1.0
18,1,1,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/151005044/,15.0,6.0,18,1,4.0,6258687,1,,25.5,1.0
19,1,1,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/151005116/,17.0,6.0,19,1,4.0,6325576,1,,30.0,1.0
20,0,1,4.049282264729725,0,3,29.5,http://www.cian.ru/sale/flat/150910021/,,5.0,20,1,4.0,6325576,1,,29.5,1.0
21,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031279/,22.3,6.0,21,1,,6355668,1,,22.3,1.0
22,1,0,6.436183108010541,0,2,10.0,http://www.cian.ru/sale/flat/150459322/,18.0,10.0,22,0,12.0,6400000,1,1.0,34.0,1.0
23,1,1,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/151005216/,18.0,6.0,23,1,4.0,6437035,1,,33.5,1.0
24,1,1,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/151005085/,16.0,6.0,24,1,4.0,6449418,1,,28.5,1.0
25,1,1,4.328370121441268,0,5,6.0,http://www.cian.ru/sale/flat/150679023/,18.0,5.0,25,0,8.0,6450000,2,,33.1,1.0
26,1,1,4.328370121441268,0,5,5.6,http://www.cian.ru/sale/flat/150678964/,20.2,5.0,26,0,8.0,6450000,1,,33.1,1.0
27,0,1,4.049282264729725,0,3,,http://www.cian.ru/sale/flat/148800467/,29.5,5.0,27,0,6.0,6452087,1,0.0,29.5,1.0
