,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloor,Price,Rooms,Totsp,Walk
0,1,1,0.5928586948376897,4,3.1354942159291497,4.553876891600541,7.0,0,8.0,71014225,3.0,4.770684624465665,1.0
1,1,1,1.2396300109186331,6,3.6216707044204863,3.8066624897703196,9.0,0,14.0,85000000,3.0,4.73707525686803,1.0
2,1,1,0.7817912264409105,7,2.5649493574615367,4.23410650459726,6.0,0,8.0,55000000,3.0,4.820281565605037,1.0
3,1,1,3.3819160667698047,2,2.0794415416798357,2.760009940032921,20.0,1,4.0,2316750,1.0,3.4307561839036995,0.0
4,1,1,3.0680281489552823,2,2.468099531471619,3.6000482404073204,15.0,1,19.0,3650000,2.0,4.301358731606427,0.0
7,1,0,1.4225085859188709,1,1.791759469228055,3.044522437723423,3.0,0,9.0,4700000,1.0,3.4657359027997265,1.0
10,1,1,1.3931596428372983,2,2.0794415416798357,2.4849066497880004,3.0,0,6.0,5300000,1.0,3.044522437723423,1.0
13,1,0,1.8173121344895753,1,2.302585092994046,2.995732273553991,13.0,0,12.0,5400000,1.0,3.5553480614894135,1.0
16,1,1,0.8283929921059688,1,1.0986122886681098,2.8903717578961645,3.0,0,5.0,5900000,1.0,3.044522437723423,1.0
17,1,1,1.6066088942909504,5,1.9459101490553132,2.9444389791664403,20.0,0,5.0,5900000,1.0,3.4011973816621555,1.0
22,1,0,1.861935679317493,2,2.302585092994046,2.8903717578961645,10.0,0,12.0,6400000,1.0,3.5263605246161616,1.0
25,1,1,1.465191055780818,5,1.791759469228055,2.8903717578961645,5.0,0,8.0,6450000,2.0,3.4995332823830174,1.0
26,1,1,1.465191055780818,5,1.7227665977411035,3.005682604407159,5.0,0,8.0,6450000,1.0,3.4995332823830174,1.0
29,1,1,1.4253571633976867,5,2.5257286443082556,4.574710978503383,5.0,0,11.0,118995000,5.0,5.162497643405501,1.0
30,0,0,0.9854927549030545,3,2.9444389791664403,4.564348191467836,10.0,0,10.0,61500000,2.0,4.787491742782046,1.0
33,1,1,1.5069264559685396,5,1.7227665977411035,2.9231615807191558,10.0,0,5.0,6500000,1.0,3.4242626545931514,1.0
37,1,0,1.8473079045138445,5,2.2823823856765264,2.970414465569701,8.0,0,14.0,6750000,1.0,3.5553480614894135,1.0
38,1,1,1.2180971630792916,5,1.791759469228055,2.9444389791664403,10.0,0,5.0,6850000,1.0,3.4339872044851463,1.0
39,1,0,0.9787954411518662,3,2.1972245773362196,2.9444389791664403,5.0,0,16.0,6900000,1.0,3.5263605246161616,1.0
40,1,1,1.4510199646898807,2,1.791759469228055,2.8903717578961645,4.0,0,9.0,6900000,1.0,3.4339872044851463,1.0
42,1,0,1.6510604936315758,5,2.0794415416798357,3.332204510175204,15.0,0,5.0,6950000,2.0,3.7612001156935624,0.0
43,1,1,1.4740113361853868,5,1.791759469228055,3.091042453358316,16.0,0,9.0,7000000,2.0,3.5263605246161616,1.0
46,1,0,0.9787954411518662,8,2.272125885509337,2.9496883350525844,10.0,0,16.0,7079400,1.0,3.5322256440685598,1.0
47,1,0,0.9787954411518662,8,2.1972245773362196,2.9444389791664403,5.0,0,16.0,7079400,1.0,3.5263605246161616,1.0
48,1,0,0.9787954411518662,11,2.272125885509337,2.9444389791664403,10.0,0,16.0,7113600,1.0,3.5322256440685598,1.0
49,1,0,1.361039896076516,4,2.302585092994046,2.995732273553991,15.0,0,12.0,7150000,1.0,3.58351893845611,1.0
50,1,0,1.3387044073378485,3,1.791759469228055,3.044522437723423,5.0,0,9.0,7200000,1.0,3.5263605246161616,1.0
51,1,0,1.6805973099926554,3,1.791759469228055,3.1780538303479458,15.0,0,14.0,7200000,2.0,3.6888794541139363,1.0
54,1,0,1.8527171654584929,12,2.4849066497880004,2.995732273553991,5.0,0,12.0,7250000,1.0,3.58351893845611,0.0
56,0,1,0.6105602362742946,2,2.501435951739211,4.065602093356446,5.0,1,6.0,47248782,3.0,4.581901559048737,1.0
58,1,1,1.219556392419883,3,2.5257286443082556,4.110873864173311,7.0,0,26.0,40000000,3.0,4.6443908991413725,1.0
59,1,0,1.4228855442864912,5,2.0149030205422647,2.8678989020441064,8.0,0,9.0,7280000,1.0,3.4965075614664802,1.0
61,1,0,1.09035810342661,4,1.791759469228055,2.970414465569701,5.0,0,5.0,7300000,1.0,3.4657359027997265,0.0
66,1,1,1.8418987416416965,4,1.791759469228055,3.332204510175204,5.0,0,5.0,7500000,2.0,3.7376696182833684,0.0
67,1,1,1.4485418304083448,6,1.6094379124341003,2.9601050959108397,14.0,0,8.0,7500000,1.0,3.520460802488973,1.0
69,1,0,0.9995429569596291,2,1.6094379124341003,2.833213344056216,5.0,0,14.0,7600000,1.0,3.4011973816621555,1.0
70,1,1,1.3844900394130761,5,1.8718021769015913,3.4011973816621555,8.0,0,5.0,7600000,2.0,3.8066624897703196,1.0
74,1,0,1.3198216636299296,3,1.791759469228055,3.044522437723423,4.0,0,5.0,7800000,1.0,3.4657359027997265,1.0
75,1,1,1.594622961283092,5,2.1041341542702074,2.833213344056216,13.0,0,14.0,7800000,1.0,3.6506582412937387,1.0
